\imagens\ataques\ataque1.png 1 0 0 32 0
\imagens\ataques\ataque2.png 1 0 0 32 0
\imagens\ataques\ataque3.png 1 0 0 32 0
\imagens\ataques\ataque4.png 1 0 0 32 0
\imagens\ataques\ataque5.png 1 0 0 32 0
\imagens\ataques\ataque6.png 1 0 0 32 0
\imagens\ataques\ataque7.png 1 0 0 32 0
\imagens\ataques\ataque8.png 1 0 0 32 0
\imagens\ataques\ataque9.png 1 0 0 32 0
\imagens\ataques\ataque10.png 1 0 0 32 0
\imagens\ataques\ataque11.png 1 0 0 32 0
\imagens\ataques\ataque12.png 1 0 0 32 0
\imagens\ataques\ataque13.png 1 0 0 32 0
\imagens\ataques\ataque14.png 1 0 0 32 0
\imagens\ataques\ataque15.png 1 0 0 32 0
\imagens\ataques\ataque16.png 1 0 0 32 0
\imagens\ataques\ataque17.png 1 0 0 32 0
\imagens\ataques\ataque18.png 1 0 0 32 0
\imagens\ataques\ataque19.png 1 0 0 32 0
\imagens\ataques\ataque20.png 1 0 0 32 0
\imagens\ataques\ataque21.png 1 0 0 32 0
\imagens\ataques\ataque22.png 1 0 0 32 0
\imagens\ataques\ataque23.png 1 0 0 32 0
\imagens\ataques\ataque24.png 1 0 0 32 0
\imagens\ataques\ataque25.png 1 0 0 32 0
\imagens\ataques\ataque26.png 1 0 0 32 0
\imagens\ataques\ataque27.png 1 0 0 32 0
\imagens\ataques\ataque28.png 1 0 0 32 0
\imagens\ataques\ataque29.png 1 0 0 32 0
\imagens\ataques\ataque30.png 1 0 0 32 0
\imagens\ataques\ataque31.png 1 0 0 32 0
\imagens\ataques\ataque32.png 1 0 0 32 0
\imagens\ataques\ataque33.png 1 0 0 32 0
\imagens\ataques\ataque34.png 1 0 0 32 0
\imagens\ataques\ataque35.png 1 0 0 32 0
\imagens\ataques\ataque36.png 1 0 0 32 0
\imagens\ataques\ataque37.png 1 0 0 32 0
\imagens\ataques\ataque38.png 1 0 0 32 0
\imagens\ataques\ataque39.png 1 0 0 32 0
\imagens\ataques\ataque40.png 1 0 0 32 0
\imagens\ataques\ataque41.png 1 0 0 32 0
\imagens\ataques\ataque42.png 1 0 0 32 0
\imagens\ataques\ataque43.png 1 0 0 32 0
\imagens\ataques\ataque44.png 1 0 0 32 0
\imagens\ataques\ataque45.png 1 0 0 32 0
\imagens\ataques\ataque46.png 1 0 0 32 0
\imagens\ataques\ataque47.png 1 0 0 32 0
\imagens\ataques\ataque48.png 1 0 0 32 0
\imagens\ataques\ataque49.png 1 0 0 32 0
\imagens\ataques\ataque50.png 1 0 0 32 0
\imagens\ataques\ataque51.png 1 0 0 32 0
\imagens\ataques\ataque52.png 1 0 0 32 0
\imagens\ataques\ataque53.png 1 0 0 32 0
\imagens\ataques\ataque54.png 1 0 0 32 0
\imagens\ataques\ataque55.png 1 0 0 32 0
\imagens\ataques\ataque56.png 1 0 0 32 0
\imagens\ataques\ataque57.png 1 0 0 32 0
\imagens\ataques\ataque58.png 1 0 0 32 0
\imagens\ataques\ataque59.png 1 0 0 32 0
\imagens\ataques\ataque60.png 1 0 0 32 0
\imagens\ataques\ataque61.png 1 0 0 32 0
\imagens\ataques\ataque62.png 1 0 0 32 0
\imagens\ataques\ataque63.png 1 0 0 32 0
\imagens\ataques\ataque64.png 1 0 0 32 0
\imagens\ataques\ataque65.png 1 0 0 32 0
\imagens\ataques\ataque66.png 1 0 0 32 0
\imagens\ataques\ataque67.png 1 0 0 32 0
\imagens\ataques\ataque68.png 1 0 0 32 0
\imagens\ataques\ataque69.png 1 0 0 32 0
\imagens\ataques\ataque70.png 1 0 0 32 0
\imagens\ataques\ataque71.png 1 0 0 32 0
\imagens\ataques\ataque72.png 1 0 0 32 0
\imagens\ataques\ataque73.png 1 0 0 32 0
\imagens\ataques\ataque74.png 1 0 0 32 0
